ISO_3DIGIT,Annual_precip
AFG,311.32
AGO,991.31
ALB,1053.24
ARE,67.81
ARG,559.05
ARM,502.28
AUS,473.09
AUT,1161.18
AZE,433.88
BDI,1262.81
BEL,874.30
BEN,1034.27
BFA,774.29
BGD,2266.52
BGR,602.84
BHS,1280.08
BIH,1071.76
BLR,610.07
BLZ,2089.26
BOL,1095.56
BRA,1762.97
BRN,3160.78
BTN,1780.46
BWA,394.48
CAF,1354.67
CAN,457.47
CHE,1646.41
CHL,631.17
CHN,574.77
CIV,1356.08
CMR,1613.07
COD,1535.04
COG,1635.05
COL,2618.59
COM,1846.39
CRI,3268.27
CUB,1329.49
CYP,436.25
CZE,667.00
DEU,713.50
DJI,196.19
DNK,698.65
DOM,1417.07
DZA,81.97
ECU,1945.27
EGY,32.91
ERI,257.70
ESH,35.83
ESP,622.99
EST,629.79
ETH,830.51
FIN,524.70
FJI,2905.11
FLK,568.95
FRA,838.93
GAB,1819.44
GBR,1154.30
GEO,959.44
GHA,1184.94
GIN,1693.56
GLP,3042.52
GMB,990.48
GNB,1646.95
GNQ,2213.31
GRC,668.22
GTM,2606.33
GUF,2841.63
GUY,2364.69
HND,1945.76
HRV,1037.35
HTI,1480.20
HUN,571.75
IDN,2801.54
IND,1072.22
IRL,1110.63
IRN,227.36
IRQ,196.34
ISL,1039.82
ISR,248.69
ITA,930.19
JAM,2114.18
JOR,102.31
JPN,1603.76
KAZ,252.26
KEN,678.11
KGZ,390.72
KHM,1918.68
KOR,1344.73
KSV,862.64
KWT,108.59
LAO,1758.35
LBN,721.11
LBR,2460.08
LBY,45.98
LKA,1699.41
LSO,775.67
LTU,651.72
LUX,848.81
LVA,638.87
MAR,322.27
MDA,538.89
MDG,1475.68
MEX,738.14
MKD,632.50
MLI,303.01
MMR,2007.70
MNE,1227.18
MNG,227.23
MOZ,1007.81
MRT,90.00
MUS,1953.02
MWI,1112.29
MYS,2992.79
NAM,273.83
NCL,1456.21
NER,160.80
NGA,1138.53
NIC,2406.97
NLD,766.07
NOR,1051.84
NPL,1406.41
NZL,1790.95
OMN,88.21
PAK,301.02
PAN,2487.03
PER,1513.24
PHL,2317.59
PNG,3106.06
POL,600.66
PRI,2126.02
PRK,1110.43
PRT,835.35
PRY,1093.89
QAT,65.22
REU,1987.51
ROU,642.21
RUS,434.80
RWA,1162.80
SAU,73.40
SDN,234.04
SEN,701.10
SJM,543.01
SLB,3157.37
SLE,2471.72
SLV,1672.81
SOM,265.35
SRB,726.46
SSD,956.58
SUR,2316.81
SVK,767.52
SVN,1361.81
SWE,621.15
SWZ,798.37
SYR,296.37
TCD,330.51
TGO,1189.11
THA,1532.48
TJK,492.02
TKM,156.75
TLS,1239.77
TTO,1831.41
TUN,267.09
TUR,573.28
TZA,1052.38
UGA,1207.90
UKR,561.79
URY,1250.48
USA,654.54
UZB,191.82
VCT,1585.97
VEN,1957.65
VIR,2131.47
VNM,1835.16
VUT,2662.11
YEM,166.54
ZAF,474.78
ZMB,1004.75
ZWE,668.97
